1,0.773142582
2,1.806636048
3,2.18944196
4,1.974703969
5,2.12456228
6,2.202290829
7,2.009026842
8,2.285786938
9,2.244638939
10,2.330669416
11,2.354498188
12,2.452400265
13,2.368794094
14,2.506714177
15,2.633632356
16,2.604426288
17,2.722215625
18,2.719858366
19,2.634656482
20,2.667839037
21,2.831824701
22,2.99139164
23,2.918544838
24,3.017508427
25,3.189779702
26,3.196864659
27,3.355741875
28,3.505692869
29,3.526365394
30,3.636255838
31,3.788260216
32,3.84935791
33,4.06440458
34,4.263119096
35,4.24380236
36,4.487922367
37,4.877138504
38,5.096879388
39,5.248319432
40,5.280090593
41,5.929052846
42,6.228498436
43,6.13377329
44,6.603577984
45,7.64777279
46,8.04839627
47,8.609953307
48,9.703068202
49,10.76135234
50,11.1697228
51,12.33212639
52,14.42108201
53,16.32008998
54,20.47527057
55,22.80360695
56,27.74001603
57,33.05202591
58,40.56029976
59,51.33900114
60,60.03089509
61,65.02800624
62,72.05296289
63,80.90639475
64,87.15553113
65,89.90508221
66,92.08849072
67,93.43946488
68,95.93449682
69,96.36784314
70,97.44290004
71,97.54315106
72,98.16535466
73,98.50662857
74,98.83640447
75,98.97271807
76,99.26933512
77,99.43453027
78,99.48494542
79,99.58400138
80,99.69842274
81,99.76935868
82,99.78452559
83,99.85353148
84,99.88830328
85,99.8835946
86,99.92823546
87,99.95762566
88,99.95405582
89,99.96446253
90,99.97687096
91,99.98550343
92,99.99476641
93,99.99525695
94,99.99616761
95,99.9978851
96,99.99957806
97,99.99958865
98,100
99,100
